COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2022,26.5
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,2022,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,2022,95823.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,2022,713.054
NORWAY,BALANCE,CRNGFEED,INDPROD,2022,89970.46399999999
NZ,BALANCE,CRNGFEED,INDPROD,2022,875.0
POLAND,BALANCE,CRNGFEED,INDPROD,2022,901.99
PORTUGAL,BALANCE,CRNGFEED,INDPROD,2022,0.0
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,2022,2.143
SLOVENIA,BALANCE,CRNGFEED,INDPROD,2022,0.0
SPAIN,BALANCE,CRNGFEED,INDPROD,2022,0.912
SWEDEN,BALANCE,CRNGFEED,INDPROD,2022,0.0
SWITLAND,BALANCE,CRNGFEED,INDPROD,2022,0.0
TURKEY,BALANCE,CRNGFEED,INDPROD,2022,3583.113
UK,BALANCE,CRNGFEED,INDPROD,2022,37750.743
USA,BALANCE,CRNGFEED,INDPROD,2022,749969.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2Q2023,3821.6980000000003
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2Q2023,120.05199999999999
BELGIUM,BALANCE,CRNGFEED,INDPROD,2Q2023,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,2Q2023,66200.658
CHILE,BALANCE,CRNGFEED,INDPROD,2Q2023,101.03200000000001
CZECH,BALANCE,CRNGFEED,INDPROD,2Q2023,15.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2Q2023,711.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,2Q2023,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,2Q2023,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2Q2023,217.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2Q2023,678.533
GREECE,BALANCE,CRNGFEED,INDPROD,2Q2023,13.906
HUNGARY,BALANCE,CRNGFEED,INDPROD,2Q2023,275.0
ICELAND,BALANCE,CRNGFEED,INDPROD,2Q2023,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,2Q2023,0.0
